id,category,question,answer,source
1,请假,怎么请病假?,病假需辅导员签字假条+校医院证明，3天内交教务处,学生手册P23
2,请假,事假最多能请几天?,单次事假不超过5天，超5天需院系书记审批,学生手册P24
3,请假,线上请假流程是什么?,企业微信提交请假申请，辅导员线上审批留存凭证,班级群通知
4,请假,请假逾期返校有什么处罚?,无延期审批按旷课处理，累计旷课取消评奖资格,教务处官网
5,奖学金,奖学金需要什么条件?,学年平均绩点≥3.0，无挂科，体测合格,学生手册P45
6,奖学金,国家奖学金金额多少?,国家奖学金8000元/年，国家励志奖学金5000元/年,教务处官网
7,奖学金,挂科还能评奖学金吗?,当年有挂科科目直接失去本年度奖学金参评资格,学生手册P46
8,奖学金,助学金和奖学金可以同时拿吗?,助学金与学业奖学金可同时申请，国奖和国励不可兼得,班级群通知
9,宿舍报修,宿舍漏水怎么报修?,企业微信后勤报修小程序上传照片，24小时内上门维修,班级群通知
10,宿舍报修,宿舍断电找谁处理?,先查宿舍空开，无法恢复则在后勤平台报修电工,学生手册P62
11,宿舍报修,报修需要提供哪些信息?,楼栋、宿舍号、故障类型、联系方式、现场照片,后勤官网
12,宿舍报修,人为损坏设施需要自费维修吗?,人为损坏需自行承担配件与维修工时费用,学生手册P63
13,一卡通,校园卡丢了怎么补办?,先在校园APP挂失，前往后勤一卡通窗口补办工本费20元,学生手册P37
14,一卡通,一卡通消磁无法刷卡怎么办?,携带身份证至一卡通服务点重新写卡，免费处理,教务处官网
15,一卡通,补办卡多久能拿到?,现场补办立等可取，旧卡余额自动转入新卡,班级群通知
16,一卡通,一卡通能线上充值吗?,校园APP、支付宝校园生活均可线上充值,后勤通知
17,选课退课,大一选课开放时间是什么时候?,每学期第15周开放下学期预选，第1周正式选课,教务处官网
18,选课退课,退课截止时间是什么时候?,开学第2周周五前可免费退课，逾期不予办理,学生手册P18
19,选课退课,选课后没上课会挂科吗?,已选课未参与考核直接记挂科，影响奖学金评定,教务处官网
20,选课退课,选课学分上限是多少?,每学期选课总学分最高不超过28学分,学生手册P19